id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-870884-A,Computing tape-measure. ,Emil F Holinger,Emil F Holinger,1907-08-03,1907-08-03,1907-11-12,1907-11-12,https://patents.google.com/patent/US870884A/en,https://patentimages.storage.googleapis.com/52/6c/ed/036e59d7ed80e5/US870884-drawings-page-1.png
US-2616623-A,Accounting machine ,,,,,1952-11-04,1952-11-04,https://patents.google.com/patent/US2616623A/en,https://patentimages.storage.googleapis.com/dd/9a/5e/ba89fd8a8250c5/US2616623-drawings-page-1.png
US-3319884-A,Touch-actuated control for multifunction machines ,David L Franklin,David L Franklin,1966-03-11,1966-03-11,1967-05-16,1967-05-16,https://patents.google.com/patent/US3319884A/en,https://patentimages.storage.googleapis.com/61/01/8f/eb695fecdfb7d6/US3319884-drawings-page-1.png
US-3489361-A,Tape feed ,Singer Co,"Andre F Marion, Leland D Chamness",1967-05-22,1967-05-22,1970-01-13,1970-01-13,https://patents.google.com/patent/US3489361A/en,https://patentimages.storage.googleapis.com/58/3e/5b/032dc0a5bf4179/US3489361-drawings-page-1.png
DE-643803-C,"Electromagnetic memory for numbers and other data, especially for Buchfuehrungseinrichtungen ",Gustav Tauschek,,1932-08-04,1933-07-01,1937-04-17,1937-04-17,https://patents.google.com/patent/DE643803C/en,
US-3018721-A,Recording apparatus ,Burroughs Corp,"William A Monticello, Thomas N Yesowich",1960-05-31,1960-05-31,1962-01-30,1962-01-30,https://patents.google.com/patent/US3018721A/en,https://patentimages.storage.googleapis.com/e1/a6/b5/9d800090b00ad5/US3018721-drawings-page-1.png
US-3221644-A,Printing device with zero suppressing means ,Precisa Ag,Gelling Helmut,1962-04-05,1963-03-28,1965-12-07,1965-12-07,https://patents.google.com/patent/US3221644A/en,https://patentimages.storage.googleapis.com/3e/f0/ad/58ae70cfe02889/US3221644-drawings-page-1.png
US-2351541-A,Accounting machine ,,,,,1944-06-13,1944-06-13,https://patents.google.com/patent/US2351541A/en,https://patentimages.storage.googleapis.com/bc/83/95/f2feb3ca9b259d/US2351541-drawings-page-1.png
US-2544126-A,Calculating machine ,Powers Samas Account Mach Ltd,Baldwin Richard Everest,1947-03-25,1948-03-10,1951-03-06,1951-03-06,https://patents.google.com/patent/US2544126A/en,https://patentimages.storage.googleapis.com/61/42/01/a5c8dd3f7b3cc9/US2544126-drawings-page-1.png
US-3489342-A,Keyboard ,Alyn Dale Inc,Maynard E Anderson,1968-05-01,1968-05-01,1970-01-13,1970-01-13,https://patents.google.com/patent/US3489342A/en,https://patentimages.storage.googleapis.com/8e/d7/d9/5a6a1a9ce9a298/US3489342-drawings-page-1.png
US-2342529-A,Calculating machine ,,,,,1944-02-22,1944-02-22,https://patents.google.com/patent/US2342529A/en,https://patentimages.storage.googleapis.com/e3/2a/63/b6e3f7808ec3b5/US2342529-drawings-page-1.png
US-2550133-A,Bookkeeping machine ,,,,,1951-04-24,1951-04-24,https://patents.google.com/patent/US2550133A/en,https://patentimages.storage.googleapis.com/52/6b/4d/6f127cd7f8fc60/US2550133-drawings-page-1.png
US-2203533-A,Computing and listing machine ,,,,,1940-06-04,1940-06-04,https://patents.google.com/patent/US2203533A/en,https://patentimages.storage.googleapis.com/9e/47/a9/98c6499f054e2f/US2203533-drawings-page-1.png
US-1233699-A,Bookkeeping-machine. ,John Royden Peirce,John Royden Peirce,1907-08-09,1907-08-09,1917-07-17,1917-07-17,https://patents.google.com/patent/US1233699A/en,https://patentimages.storage.googleapis.com/98/d4/82/dcbc58f1203530/US1233699-drawings-page-1.png
US-2118588-A,Calculating machine ,,,,,1938-05-24,1938-05-24,https://patents.google.com/patent/US2118588A/en,https://patentimages.storage.googleapis.com/a6/31/af/fba88f8b0ea0eb/US2118588-drawings-page-1.png
US-2490348-A,Ghertman ,,,,,1949-12-06,1949-12-06,https://patents.google.com/patent/US2490348A/en,https://patentimages.storage.googleapis.com/pages/US2490348-0.png
US-2428084-A,Calculating machine ,,,,,1947-09-30,1947-09-30,https://patents.google.com/patent/US2428084A/en,https://patentimages.storage.googleapis.com/50/f6/92/480747a675d7c1/US2428084-drawings-page-1.png
